# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 0 15 180 230 0 55 90
# goal = joints(deg) 0 15 180 234 0 59 90
# duration_s = 10
# timesteps = 10
# final_error = 5.845072818e-05
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 0.015012273 2.352699058e-09 -0.04904647973 (norm 0.05129254833)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0,-1.580768986e-10,15,180,-130,2.214313889e-11,55.00000001,90,-3.161538041e-09,-2.927226672e-10,3.813377539e-09,2.399714363e-07,4.42862789e-10,2.397346946e-07,-1.277824086e-09
0.001,-1.741902072e-09,15,180,-129.9999999,2.440026341e-10,55.00000013,90,-3.164383425e-06,-2.929861176e-07,3.816809579e-06,0.0002401874106,4.432613656e-07,0.0002399504558,-1.278974128e-06
0.002,-6.486632979e-09,15,180,-129.9999995,9.086363458e-10,55.00000049,90,-6.324973004e-06,-5.856209679e-07,7.629043105e-06,0.0004800868555,8.859912958e-07,0.0004796132301,-2.556414866e-06
0.003,-1.439163731e-08,15,180,-129.9999989,2.015955701e-09,55.00000109,89.99999999,-9.484930276e-06,-8.781972738e-07,1.144051396e-05,0.0007199383061,1.328632653e-06,0.0007192280573,-3.83360004e-06
0.004,-2.545628276e-08,15,180,-129.9999981,3.565872128e-09,55.00000193,89.99999999,-1.264425524e-05,-1.170715035e-06,1.525122213e-05,0.0009597417624,1.771185439e-06,0.0009587949377,-5.110529649e-06
0.005,-3.967993702e-08,15,180,-129.999997,5.558297054e-09,55.00000301,89.99999998,-1.58029479e-05,-1.463174252e-06,1.906116763e-05,0.001199497224,2.213649651e-06,0.001198313871,-6.387203694e-06
0.006,-5.706196778e-08,14.99999999,180.0000001,-129.9999957,7.993141906e-09,55.00000433,89.99999998,-1.896100824e-05,-1.755574924e-06,2.287035045e-05,0.001439204692,2.656025291e-06,0.001437784858,-7.663622173e-06
0.007,-7.760174274e-08,14.99999999,180.0000001,-129.9999941,1.087031811e-08,55.00000588,89.99999997,-2.211843629e-05,-2.047917052e-06,2.66787706e-05,0.001678864166,3.098312358e-06,0.001677207897,-8.939785088e-06
0.008,-1.012986296e-07,14.99999999,180.0000001,-129.9999923,1.41897371e-08,55.00000768,89.99999996,-2.527523202e-05,-2.340200635e-06,3.048642808e-05,0.001918475645,3.540510853e-06,0.00191658299,-1.021569244e-05
0.009,-1.28151996e-07,14.99999999,180.0000002,-129.9999903,1.795131029e-08,55.00000972,89.99999995,-2.843139545e-05,-2.632425674e-06,3.429332287e-05,0.00215803913,3.982620776e-06,0.002155910135,-1.149134422e-05
0.01,-1.581612097e-07,14.99999999,180.0000002,-129.999988,2.215494913e-08,55.00001199,89.99999994,-3.158692656e-05,-2.924592168e-06,3.809945499e-05,0.00239755462,4.424642125e-06,0.002395189334,-1.276674044e-05
0.011,-1.913256384e-07,14.99999998,180.0000002,-129.9999855,2.680056502e-08,55.00001451,89.99999992,-3.474182538e-05,-3.216700117e-06,4.190482444e-05,0.002637022117,4.866574903e-06,0.002634420586,-1.40418811e-05
0.012,-2.276446497e-07,14.99999998,180.0000003,-129.9999827,3.188806941e-08,55.00001726,89.99999991,-3.789609188e-05,-3.508749523e-06,4.570943121e-05,0.002876441619,5.308419107e-06,0.002873603891,-1.531676619e-05
0.013,-2.671176114e-07,14.99999998,180.0000003,-129.9999797,3.741737371e-08,55.00002026,89.99999989,-4.104972607e-05,-3.800740383e-06,4.951327531e-05,0.003115813126,5.750174739e-06,0.003112739248,-1.659139571e-05
0.014,-3.097438911e-07,14.99999997,180.0000004,-129.9999765,4.338838936e-08,55.00002349,89.99999987,-4.420272796e-05,-4.092672699e-06,5.331635673e-05,0.00335513664,6.191841799e-06,0.003351826659,-1.786576967e-05
0.015,-3.555228565e-07,14.99999997,180.0000004,-129.999973,4.980102779e-08,55.00002696,89.99999986,-4.735509754e-05,-4.38454647e-06,5.711867547e-05,0.003594412159,6.633420286e-06,0.003590866123,-1.913988807e-05
0.016,-4.044538754e-07,14.99999996,180.0000005,-129.9999693,5.665520041e-08,55.00003067,89.99999984,-5.050683482e-05,-4.676361697e-06,6.092023154e-05,0.003833639684,7.0749102e-06,0.00382985764,-2.04137509e-05
0.017,-4.565363154e-07,14.99999996,180.0000006,-129.9999653,6.395081866e-08,55.00003462,89.99999982,-5.365793978e-05,-4.96811838e-06,6.472102494e-05,0.004072819214,7.516311542e-06,0.004068801211,-2.168735817e-05
0.018,-5.117695442e-07,14.99999995,180.0000006,-129.9999612,7.168779397e-08,55.00003881,89.99999979,-5.680841244e-05,-5.259816517e-06,6.852105565e-05,0.004311950751,7.957624312e-06,0.004307696834,-2.296070987e-05
0.019,-5.701529295e-07,14.99999995,180.0000007,-129.9999567,7.986603776e-08,55.00004323,89.99999977,-5.995825279e-05,-5.551456111e-06,7.232032369e-05,0.004551034293,8.398848508e-06,0.00454654451,-2.423380601e-05
