# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 0 15 180 230 0 55 90
# goal = joints(deg) 0 15 180 230 0 55 90
# duration_s = 10
# timesteps = 10
# final_error = 3.089280437e-42
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 0 0 0 (norm 0)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0,6.517959851e-31,15,180,-130,-1.274145254e-31,55,90,1.304208984e-29,4.073909029e-29,-1.566430322e-29,-2.304104789e-29,-2.549496661e-30,8.147735133e-26,5.516544568e-30
0.001,7.185448464e-30,15,180,-130,-1.40462741e-30,55,90,1.305382834e-26,0,0,0,-2.551791329e-27,0,0
0.002,2.67585836e-29,15,180,-130,-5.230827297e-30,55,90,2.60920074e-26,0,0,0,-5.100523503e-27,0,0
0.003,5.936859421e-29,15,180,-130,-1.160550453e-29,55,90,3.912757928e-26,0,0,0,-7.648746018e-27,0,0
0.004,1.050128731e-28,15,180,-130,-2.052814945e-29,55,90,5.216054398e-26,0,0,0,-1.019645888e-26,0,0
0.005,1.636888131e-28,15,180,-130,-3.19982524e-29,55,90,6.519090149e-26,0,0,0,-1.274366208e-26,0,0
0.006,2.35393807e-28,15,180,-130,-4.601530371e-29,55,90,7.821865182e-26,0,0,0,-1.529035562e-26,0,0
0.007,3.201252477e-28,15,180,-130,-6.257879374e-29,55,90,9.124379496e-26,0,0,0,-1.78365395e-26,0,0
0.008,4.178805279e-28,15,180,-130,-8.168821283e-29,55,90,1.042663309e-25,0,0,0,-2.038221373e-26,0,0
0.009,5.286570405e-28,15,180,-130,-1.033430513e-28,55,90,1.172862597e-25,0,0,0,-2.292737829e-26,0,0
0.01,6.524521782e-28,15,180,-130,-1.275427995e-28,55,90,1.303035813e-25,0,0,0,-2.54720332e-26,0,0
0.011,7.89263334e-28,15,180,-130,-1.542869478e-28,55,90,1.433182957e-25,0,0,0,-2.801617845e-26,0,0
0.012,9.390879006e-28,15,180,-130,-1.835749865e-28,55,90,1.563304029e-25,0,0,0,-3.055981405e-26,0,0
0.013,1.101923271e-27,15,180,-130,-2.15406406e-28,55,90,1.69339903e-25,0,0,0,-3.310293998e-26,0,0
0.014,1.277766837e-27,15,180,-130,-2.497806966e-28,55,90,1.823467958e-25,0,0,0,-3.564555626e-26,0,0
0.015,1.466615993e-27,15,180,-130,-2.866973487e-28,55,90,1.953510815e-25,0,0,0,-3.818766288e-26,0,0
0.016,1.668468131e-27,15,180,-130,-3.261558525e-28,55,90,2.0835276e-25,0,0,0,-4.072925984e-26,0,0
0.017,1.883320644e-27,15,180,-130,-3.681556985e-28,55,90,2.213518313e-25,0,0,0,-4.327034714e-26,0,0
0.018,2.111170925e-27,15,180,-130,-4.126963769e-28,55,90,2.343482954e-25,0,0,0,-4.581092478e-26,0,0
0.019,2.352016366e-27,15,180,-130,-4.597773781e-28,55,90,2.473421523e-25,0,0,0,-4.835099277e-26,0,0
0.02,2.605854361e-27,15,180,-130,-5.093981925e-28,55,90,2.603334021e-25,0,0,0,-5.08905511e-26,0,0
0.021,2.872682301e-27,15,180,-130,-5.615583104e-28,55,90,2.733220447e-25,0,0,0,-5.342959977e-26,0,0
0.022,3.152497581e-27,15,180,-130,-6.162572222e-28,55,90,2.863080801e-25,0,0,0,-5.596813878e-26,0,0
0.023,3.445297592e-27,15,180,-130,-6.734944181e-28,55,90,2.992915083e-25,0,0,0,-5.850616813e-26,0,0
