# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 117.837 88.5689 344.29 19.2775 160.907 312.106 17.802
# goal = displacement(m,base) 1.57655e-06 -1.44397e-05 -4.57607e-05 orientation held
# duration_s = 8
# timesteps = 10
# final_error = 1.676010831e-09
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 1.223520691e-06 -1.452274764e-05 -4.558442861e-05 (norm 4.785757342e-05)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0,117.837,88.5689,-15.71,19.2775,160.907,-47.894,17.802,2.404607302e-10,-9.901098277e-10,-1.114998225e-10,1.630077142e-09,-3.412907351e-11,6.009080043e-10,1.812892551e-10
0.001,117.837,88.5689,-15.71,19.2775,160.907,-47.894,17.802,2.406711335e-07,-9.909761739e-07,-1.115973848e-07,1.63150346e-06,-3.415893663e-08,6.014337989e-07,1.814478833e-07
0.002,117.837,88.5689,-15.71,19.2775,160.907,-47.894,17.802,4.810416908e-07,-1.98071471e-06,-2.230553949e-07,3.260969323e-06,-6.827521168e-08,1.202116463e-06,3.626691549e-07
0.003,117.837,88.5689,-15.71,19.27750001,160.907,-47.894,17.802,7.213521331e-07,-2.970205719e-06,-3.3448553e-07,4.890027667e-06,-1.023829545e-07,1.8026489e-06,5.438451043e-07
0.004,117.837,88.56889999,-15.71,19.27750001,160.907,-47.894,17.802,9.616024602e-07,-3.959449201e-06,-4.458877902e-07,6.518678491e-06,-1.364821663e-07,2.403031109e-06,7.249757314e-07
0.005,117.837,88.56889999,-15.71,19.27750002,160.907,-47.89399999,17.802,1.201792672e-06,-4.948445155e-06,-5.572621753e-07,8.146921797e-06,-1.705728438e-07,3.003263092e-06,9.060610361e-07
0.006,117.837,88.56889998,-15.71,19.27750003,160.907,-47.89399999,17.802,1.441922769e-06,-5.937193581e-06,-6.686086856e-07,9.774757583e-06,-2.046549903e-07,3.603344848e-06,1.087101018e-06
0.007,117.837,88.56889998,-15.71,19.27750004,160.907,-47.89399999,17.802,1.681992751e-06,-6.92569448e-06,-7.799273209e-07,1.140218585e-05,-2.387286034e-07,4.203276377e-06,1.268095679e-06
0.008,117.837,88.56889997,-15.71,19.27750005,160.907,-47.89399998,17.80200001,1.922002618e-06,-7.913947852e-06,-8.912180814e-07,1.30292066e-05,-2.727936847e-07,4.803057679e-06,1.449045016e-06
0.009,117.837,88.56889996,-15.71,19.27750007,160.907,-47.89399998,17.80200001,2.161952369e-06,-8.901953698e-06,-1.002480967e-06,1.465581983e-05,-3.068502341e-07,5.402688754e-06,1.629949032e-06
