frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
1051353,-90.0008,92.5332,-18.6983,44.9951,-0.752167,4.99726,-174.178,94.6704,89.9587,14.8556,45.0451,-0.0385437,5.0417,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.66166,0.162424,-0.171478,-5.6252,-0.192182,-2.04333,-0.0103369,-0.142179,4.96445,-0.0414198,-5.21152,-0.348455,-1.41238,-0.0422286,0.0023064,-0.240057,1.3287,1.87864,-0.109888,-1.43924,-0.0857577,-0.245654,1.33117,-2.00448,-0.128819,-1.53204,-0.852586,0.136783,1.25366,0.0123492,0.999909,-0.00549164,0,0,0,0,0,0,0,0,0,0,0,0,-209.119,-179.037,1378.29,-187.058,-196.731,1427.2,-230.064,-213.367,1334.16,119.132,-156.723,1361.82,109.097,-166.052,1398.05,137.813,-183.464,1317.52,-393.119,-256.638,587.036,-368.268,-200.368,603.475,-310.012,-233.342,623.056,-382.253,-204.686,639.754,116.1,-258.234,615.427,164.174,-222.201,589.593,191.026,-276.889,564.781,183.144,-225.217,621.964,-878.721,-651.926,1236.95,-857.068,-651.161,1278.34,-898.709,-654.028,1282.1,-843.846,928.926,1288.27,-844.511,928.83,1245.85,0,0,0,-874.304,-293.095,1289.51,-896.412,-291.436,1251.61,-850.494,-292.54,1249.98,0,0,0,0.237987,-1.41403,1.70999,0
1051354,-90.0008,92.5332,-18.7099,44.9951,-0.762817,4.99726,-174.178,94.6704,89.9587,14.8556,45.0451,-0.0385437,5.0417,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.6121,0.0739089,-0.186253,-5.66728,-0.186399,-2.05691,-0.00742062,-0.104756,4.93159,-0.0895854,-5.23181,-0.347167,-1.41613,-0.0218674,0.00237345,-0.240153,1.32875,1.87845,-0.1102,-1.43893,-0.0856679,-0.245538,1.33112,-2.00502,-0.128931,-1.53101,-0.852586,0.136783,1.25366,0.0123492,0.999909,-0.00549164,0,0,0,0,0,0,0,0,0,0,0,0,-209.07,-178.981,1378.28,-186.959,-196.636,1427.2,-230.019,-213.351,1334.14,119.173,-156.719,1361.81,109.146,-166.021,1398.03,137.854,-183.448,1317.51,-393.113,-256.554,587.053,-368.244,-200.279,603.453,-309.987,-233.266,623.065,-382.205,-204.663,639.724,116.158,-258.154,615.416,164.29,-222.167,589.59,191.069,-276.852,564.777,183.201,-225.142,621.926,-878.711,-651.966,1236.9,-857.076,-651.18,1278.32,-898.708,-654.045,1282.07,-843.878,928.916,1288.28,-844.467,928.799,1245.9,0,0,0,-874.312,-293.112,1289.5,-896.434,-291.429,1251.54,-850.511,-292.609,1249.96,0,0,0,0.237995,-1.41402,1.70999,0
1051355,-90.0008,92.5332,-18.7209,44.9949,-0.773376,4.99726,-174.178,94.6705,89.9591,14.8556,45.0445,-0.0385437,5.0417,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.62943,0.0445359,-0.238547,-5.63376,-0.205844,-2.04728,-0.00674712,-0.0396147,4.86513,-0.0314758,-5.20855,-0.347677,-1.39837,-0.0394147,0.0023548,-0.240037,1.32873,1.87836,-0.109972,-1.43983,-0.0856665,-0.245804,1.33135,-2.00391,-0.130303,-1.53287,-0.852586,0.136783,1.25366,0.0123492,0.999909,-0.00549164,0,0,0,0,0,0,0,0,0,0,0,0,-209.01,-178.93,1378.28,-186.967,-196.58,1427.28,-229.972,-213.31,1334.14,119.233,-156.708,1361.8,109.201,-166.01,1398.03,137.883,-183.437,1317.49,-393.106,-256.417,586.995,-368.224,-200.198,603.448,-309.963,-233.203,623.041,-382.174,-204.57,639.697,116.242,-258.058,615.38,164.395,-222.104,589.602,191.184,-276.842,564.78,183.287,-225.069,621.923,-878.795,-652.418,1236.35,-857.059,-651.211,1278.32,-898.72,-654.07,1282.06,-843.898,928.901,1288.28,-844.517,928.778,1245.9,0,0,0,-874.276,-293.17,1289.54,-896.45,-291.508,1251.64,-850.503,-292.615,1249.96,0,0,0,0.237984,-1.41402,1.70999,0
1051356,-90.0008,92.5332,-18.7281,44.9948,-0.784821,4.9972,-174.178,94.6705,89.9591,14.8556,45.044,-0.0385437,5.04165,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.63293,-0.0646949,-0.274109,-5.71624,-0.197607,-2.07326,-0.0154816,-0.0567475,4.88242,0.016019,-5.21618,-0.346077,-1.39003,-0.0293028,0.00234326,-0.239882,1.32868,1.8786,-0.109468,-1.44069,-0.0856488,-0.245792,1.33134,-2.00399,-0.130518,-1.53301,-0.852585,0.136788,1.25367,0.0123348,0.999909,-0.00551371,0,0,0,0,0,0,0,0,0,0,0,0,-208.979,-178.893,1378.26,-186.942,-196.519,1427.25,-229.94,-213.241,1334.16,119.29,-156.707,1361.82,109.249,-166.017,1398.02,137.93,-183.455,1317.49,-392.827,-256.681,587.157,-368.235,-200.062,603.478,-309.946,-233.151,622.99,-382.15,-204.468,639.684,116.321,-257.973,615.4,164.478,-222.083,589.537,191.314,-276.905,564.778,183.169,-225.688,621.624,-878.843,-652.413,1236.32,-857.034,-651.262,1278.32,-898.711,-654.109,1282.07,-844.249,928.785,1287.49,-844.492,928.74,1245.92,0,0,0,-874.29,-293.159,1289.49,-896.42,-291.495,1251.55,-850.503,-292.667,1249.94,0,0,0,0.23794,-1.41403,1.71004,0
1051357,-90.0008,92.5332,-18.7281,44.9948,-0.784821,4.9972,-174.178,94.6705,89.9591,14.8556,45.044,-0.0385437,5.04165,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.63293,-0.0646949,-0.274109,-5.71624,-0.197607,-2.07326,-0.0154816,-0.0567475,4.88242,0.016019,-5.21618,-0.346077,-1.39003,-0.0293028,0.00243882,-0.239757,1.32862,1.87833,-0.108445,-1.43969,-0.0855879,-0.245484,1.33114,-2.00475,-0.129082,-1.53217,-0.852585,0.136788,1.25367,0.0123348,0.999909,-0.00551371,0,0,0,0,0,0,0,0,0,0,0,0,-208.926,-178.837,1378.27,-186.859,-196.515,1427.17,-229.892,-213.195,1334.15,119.349,-156.737,1361.82,109.356,-166.094,1397.94,137.983,-183.476,1317.53,-392.97,-256.299,586.958,-368.159,-200.009,603.437,-309.943,-233.108,622.936,-382.138,-204.369,639.694,116.383,-257.909,615.364,164.562,-222.01,589.536,191.281,-277.126,565.011,183.25,-225.65,621.613,-878.833,-652.432,1236.33,-857.049,-651.263,1278.31,-898.699,-654.117,1282.06,-844.404,928.689,1287.65,-844.517,928.747,1245.88,0,0,0,-874.288,-293.193,1289.48,-896.431,-291.517,1251.55,-850.548,-292.667,1249.93,0,0,0,0.238085,-1.41412,1.71005,0
1051358,-90.0032,92.5332,-18.7377,44.9948,-0.79599,4.99715,-174.178,94.6705,89.9591,14.8556,45.0439,-0.0385437,5.04159,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.688,-0.153904,-0.278317,-5.73992,-0.202767,-2.07663,0.00325326,-0.0436515,4.8285,-0.0222516,-5.30627,-0.359033,-1.43041,-0.0290475,0.00242819,-0.239711,1.32859,1.87857,-0.108362,-1.44055,-0.0855385,-0.245347,1.33106,-2.00512,-0.128771,-1.53161,-0.852585,0.136788,1.25367,0.0123348,0.999909,-0.00551371,0,0,0,0,0,0,0,0,0,0,0,0,-208.892,-178.796,1378.26,-186.8,-196.481,1427.14,-229.857,-213.169,1334.13,119.397,-156.767,1361.82,109.386,-166.118,1397.94,138.025,-183.525,1317.52,-392.922,-256.232,586.973,-368.098,-199.922,603.422,-309.878,-233.025,622.945,-382.044,-204.273,639.72,116.454,-257.863,615.357,164.644,-221.96,589.544,191.316,-277.101,565.025,183.321,-225.639,621.635,-878.845,-652.469,1236.35,-857.066,-651.273,1278.31,-898.692,-654.12,1282.06,-843.913,928.857,1288.22,-844.535,928.729,1245.9,0,0,0,-874.283,-293.2,1289.46,-896.48,-291.567,1251.68,-850.285,-293.645,1249.79,0,0,0,0.238079,-1.41412,1.71004,0
1051359,-90.0181,92.5332,-18.7479,44.9947,-0.806396,4.99709,-174.178,94.6705,89.9591,14.8556,45.0438,-0.0386047,5.04148,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.31722,-0.173293,-0.191112,-5.71955,-0.200526,-2.05525,-0.0292081,-0.0677634,4.65856,-0.0108201,-5.24623,-0.329999,-1.38681,-0.0317634,0.0024816,-0.239726,1.32863,1.87855,-0.10901,-1.44067,-0.0855379,-0.245304,1.33101,-2.00533,-0.128539,-1.53213,-0.852585,0.136788,1.25367,0.0123348,0.999909,-0.00551371,0,0,0,0,0,0,0,0,0,0,0,0,-208.842,-178.76,1378.25,-186.759,-196.481,1427.1,-229.826,-213.129,1334.14,119.462,-156.803,1361.82,109.45,-166.134,1397.94,138.092,-183.611,1317.54,-392.674,-256.445,587.123,-368.043,-199.827,603.391,-309.805,-232.978,622.916,-382.018,-204.212,639.698,116.521,-257.788,615.35,164.722,-221.881,589.547,191.369,-277.03,565.043,183.406,-225.575,621.598,-878.877,-652.439,1236.31,-857.064,-651.255,1278.31,-898.702,-654.103,1282.06,-844.41,928.718,1287.65,-844.5,928.743,1245.92,0,0,0,-874.286,-293.186,1289.5,-896.419,-291.508,1251.55,-850.287,-293.647,1249.76,0,0,0,0.237998,-1.41403,1.70999,0
1051360,-90.0644,92.5331,-18.7666,44.9946,-0.827545,4.99671,-174.178,94.6705,89.9592,14.8556,45.0437,-0.0386047,5.04138,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.61343,-0.230794,0.0767488,-5.86271,-0.207852,-2.08353,-0.0168956,-0.131347,4.69942,0.0250363,-5.3202,-0.347102,-1.44494,-0.0432078,0.00251784,-0.239703,1.32859,1.87885,-0.108812,-1.44114,-0.08545,-0.245383,1.33113,-2.00467,-0.129114,-1.53211,-0.852585,0.136788,1.25367,0.0123348,0.999909,-0.00551371,0,0,0,0,0,0,0,0,0,0,0,0,-208.799,-178.693,1378.24,-186.721,-196.372,1427.17,-229.766,-213.047,1334.1,119.524,-156.83,1361.83,109.497,-166.166,1397.95,138.161,-183.649,1317.53,-392.608,-256.348,587.107,-367.993,-199.704,603.379,-309.745,-232.899,622.904,-381.927,-204.09,639.709,116.61,-257.673,615.346,164.789,-221.831,589.523,191.405,-276.952,565.017,183.704,-224.951,621.888,-878.876,-652.447,1236.29,-857.076,-651.235,1278.31,-898.701,-654.077,1282.06,-843.917,928.88,1288.24,-844.519,928.769,1245.89,0,0,0,-874.284,-293.164,1289.48,-896.535,-291.528,1251.69,-850.488,-292.649,1249.95,0,0,0,0.23806,-1.41413,1.71006,0
1051361,-90.0931,92.5331,-18.7717,44.9945,-0.837921,4.99666,-174.178,94.6705,89.9692,14.8557,45.0437,-0.0386047,5.04132,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.31228,-0.271642,0.127793,-5.81482,-0.177055,-2.07536,-0.00126933,-0.0220231,4.13619,0.06618,-5.3387,-0.358433,-1.39186,-0.0243306,0.00259139,-0.239821,1.32862,1.8786,-0.108996,-1.44097,-0.0853747,-0.245301,1.33106,-2.00518,-0.12911,-1.53124,-0.852585,0.136788,1.25367,0.0123348,0.999909,-0.00551371,0,0,0,0,0,0,0,0,0,0,0,0,-208.756,-178.634,1378.22,-186.633,-196.269,1427.16,-229.723,-212.961,1334.08,119.589,-156.888,1361.82,109.568,-166.214,1397.95,138.224,-183.712,1317.51,-392.504,-256.281,587.044,-367.916,-199.595,603.325,-309.647,-232.83,622.865,-381.982,-203.696,639.604,116.699,-257.523,615.324,164.873,-221.701,589.506,191.456,-276.858,565.044,183.756,-224.831,621.852,-878.708,-651.968,1236.93,-857.065,-651.201,1278.32,-898.697,-654.052,1282.07,-843.92,928.893,1288.22,-844.499,928.811,1245.9,0,0,0,-874.277,-293.145,1289.53,-896.414,-291.429,1251.55,-850.525,-292.595,1249.95,0,0,0,0.23793,-1.41402,1.71005,0
1051362,-90.1229,92.533,-18.7775,44.9945,-0.846863,4.9966,-174.178,94.6705,89.9839,14.8557,45.0427,-0.0386047,5.04105,4.88753,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.08365,-0.298519,0.16482,-5.83259,-0.200155,-2.12534,0.00916659,-0.0456443,3.61955,0.110452,-5.80121,-0.358676,-1.58258,-0.0164955,0.00257295,-0.239777,1.32856,1.87907,-0.109083,-1.44264,-0.0854027,-0.245347,1.33102,-2.00537,-0.129175,-1.53243,-0.852585,0.136788,1.25367,0.0123348,0.999909,-0.00551371,0,0,0,0,0,0,0,0,0,0,0,0,-208.692,-178.576,1378.21,-186.594,-196.23,1427.11,-229.71,-212.924,1334.07,119.679,-156.962,1361.8,109.623,-166.259,1397.94,138.286,-183.772,1317.5,-392.406,-256.224,586.964,-367.79,-199.532,603.274,-309.508,-232.75,622.818,-381.677,-203.976,639.646,116.746,-257.352,615.33,164.951,-221.579,589.496,191.473,-276.704,564.987,183.824,-224.657,621.852,-878.703,-652.004,1236.94,-857.049,-651.17,1278.35,-898.689,-654.025,1282.07,-843.924,928.933,1288.21,-844.49,928.837,1245.88,0,0,0,-874.302,-293.095,1289.5,-896.402,-291.41,1251.55,-850.507,-292.578,1249.97,0,0,0,0.238091,-1.41411,1.71006,0
