frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx
2471965,-89.9964,90.0034,-14.9946,44.9924,5.00328,4.99426,-174.998,89.9331,89.9584,14.9449,44.9428,4.95941,4.96266,4.94501,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.35337,-0.687198,2.16587,-6.06013,-0.747188,-1.73453,-0.694368,-11.2574,3.68673,-3.56811,-5.3108,-1.05243,-1.02003,0.107139,0.108642,-0.626148,1.41312,1.88358,0.43382,-1.21356,0.0254377,-0.65564,1.41457,-1.92683,0.402861,-1.2552,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.0991163,-0.897517,0.750524,0.285703,-0.817039,0.743383,0,0,0,0,0,0,0,0,0,0,0,0,0.160942,-1.20265,1.30551,-105.619,-655.882,1482.2,-76.1686,-689.561,1515.94,-121.134,-668.054,1425.17,213.287,-544.623,1476.65,211.593,-572.334,1503.34,228.223,-541.198,1423.95,-314.514,-424.099,723.418,-309.789,-375.466,765.004,-247.84,-387.693,777.566,-321.882,-443.518,750.977,134.418,-289.756,762.817,161.205,-232.314,762.278,204.182,-252.398,716.269,227.249,-263.162,742.382,-732.147,-833.12,1241.93,-746.344,-830.196,1281.71,-699.253,-832.619,1279.94,-695.654,752.429,1247.26,-698.077,750.466,1294.91,-735.91,750.892,1277.68,-718.989,-472.96,1296.32,-743.73,-471.512,1257.73,-700.224,-471.763,1254.04,0.374354,-1.35442,1.7101,0
2471966,-89.9963,90.0034,-14.9945,44.9924,5.00328,4.99426,-174.998,89.933,89.9584,14.9449,44.9428,4.95941,4.96266,4.94501,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.8453,-0.80978,2.38813,-6.18745,-0.728524,-1.75336,-0.690679,-11.5431,3.69017,-3.65786,-5.31709,-1.03771,-1.01426,0.0792591,0.111295,-0.625116,1.41303,1.88267,0.43436,-1.21512,0.0278447,-0.654514,1.41464,-1.92784,0.408446,-1.26059,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.0992824,-0.897286,0.750336,0.285467,-0.81739,0.743324,0,0,0,0,0,0,0,0,0,0,0,0,0.160992,-1.20289,1.30528,-102.88,-654.928,1482.39,-73.7268,-688.697,1515.6,-118.473,-667.003,1425.33,216.057,-543.621,1476.53,214.351,-571.382,1503.26,230.89,-540.102,1423.93,-312.523,-422.423,723.97,-307.781,-373.836,765.672,-245.808,-386.001,778.164,-319.858,-441.887,751.574,136.472,-288.123,763.083,163.217,-230.599,762.572,206.159,-250.676,716.503,229.355,-261.292,742.495,-732.104,-833.073,1242.01,-746.329,-830.063,1281.72,-699.021,-832.496,1280.22,-695.697,752.513,1247.16,-698.088,750.608,1294.91,-735.911,751.03,1277.69,-718.954,-472.832,1296.34,-743.721,-471.384,1257.78,-700.237,-471.587,1254.07,0.374276,-1.35418,1.71007,0
2471967,-89.996,90.0034,-14.9939,44.992,5.00328,4.99415,-174.998,89.9304,89.9625,14.9442,44.9425,4.95941,4.9626,4.94501,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.30904,-0.945115,2.63793,-6.29405,-0.720173,-1.78819,-0.671613,-11.6071,3.27992,-3.58342,-5.4333,-1.05934,-1.03361,0.0836968,0.114298,-0.624481,1.4129,1.88321,0.434705,-1.21123,0.0304631,-0.654074,1.41465,-1.9291,0.409597,-1.26639,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.099438,-0.897038,0.750144,0.285266,-0.817715,0.743263,0,0,0,0,0,0,0,0,0,0,0,0,0.161055,-1.20312,1.30505,-100.123,-653.977,1482.53,-71.0817,-687.995,1515.64,-115.827,-666.003,1425.48,218.73,-542.606,1476.49,217.112,-570.358,1503.2,233.571,-539.001,1423.88,-310.54,-420.747,724.568,-305.824,-372.148,766.332,-243.858,-384.35,778.769,-317.918,-440.216,752.168,138.496,-286.503,763.287,165.201,-229.005,762.799,208.144,-249.034,716.689,231.357,-259.434,742.935,-732.042,-832.986,1242,-746.304,-829.967,1281.71,-698.987,-832.385,1280.2,-695.752,752.595,1247.2,-698.069,750.727,1294.9,-735.894,751.126,1277.67,-718.945,-472.754,1296.32,-743.705,-471.333,1257.91,-700.209,-471.478,1254.09,0.374128,-1.35435,1.71015,0
2471968,-89.9959,90.0033,-14.9939,44.9919,5.00328,4.99409,-174.998,89.9287,89.964,14.9442,44.9423,4.95941,4.96244,4.94495,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.87848,-1.11751,2.85789,-6.47227,-0.717525,-1.80355,-0.676539,-11.6936,3.14971,-3.51373,-5.78945,-1.01147,-1.20437,0.115261,0.116749,-0.623184,1.41293,1.88161,0.436283,-1.2141,0.0330867,-0.652524,1.41463,-1.92989,0.410919,-1.26236,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.0995838,-0.896773,0.74995,0.285101,-0.818013,0.7432,0,0,0,0,0,0,0,0,0,0,0,0,0.161131,-1.20335,1.30481,-97.4604,-652.953,1482.71,-68.2515,-686.82,1515.78,-113.205,-664.935,1425.65,221.468,-541.564,1476.42,219.838,-569.336,1503.11,236.202,-537.911,1423.81,-308.688,-419.019,725.216,-304.434,-370.273,766.941,-241.96,-382.615,779.331,-316.051,-438.49,752.754,140.475,-284.903,763.441,167.19,-227.437,762.985,210.105,-247.43,716.824,233.317,-257.849,743.038,-732.015,-832.837,1241.92,-746.28,-829.913,1281.69,-698.963,-832.332,1280.18,-695.746,752.613,1247.21,-698.039,750.764,1294.88,-735.885,751.186,1277.71,-718.868,-472.698,1296.36,-743.681,-471.308,1257.92,-700.237,-471.416,1254.08,0.374112,-1.35435,1.71017,0
2471969,-89.9958,90.0033,-14.9938,44.9918,5.00334,4.99393,-174.998,89.9284,89.964,14.9442,44.9424,4.95941,4.96244,4.94495,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,9.22874,-1.31009,3.07082,-6.69079,-0.726269,-1.86964,-0.681122,-11.6633,2.98278,-3.42263,-5.66823,-1.05797,-1.13683,0.0916926,0.119403,-0.62212,1.41289,1.88082,0.437862,-1.21396,0.0356582,-0.651693,1.41471,-1.93051,0.413386,-1.26599,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.0997199,-0.896491,0.749753,0.284971,-0.818282,0.743134,0,0,0,0,0,0,0,0,0,0,0,0,0.161221,-1.20356,1.30457,-94.7577,-651.971,1482.88,-65.6313,-686.033,1515.79,-110.577,-663.846,1425.83,224.158,-540.522,1476.36,222.572,-568.306,1503,238.833,-536.803,1423.72,-306.955,-417.2,725.878,-302.584,-368.52,767.61,-240.096,-380.936,779.936,-314.222,-436.751,753.378,142.461,-283.343,763.616,169.145,-225.888,763.151,212.05,-245.823,716.953,235.239,-256.251,743.18,-732.032,-832.889,1241.97,-746.271,-829.943,1281.69,-698.949,-832.368,1280.19,-695.738,752.599,1247.2,-698.057,750.753,1294.91,-735.869,751.164,1277.69,-718.927,-472.712,1296.33,-743.703,-471.305,1257.91,-700.233,-471.543,1254.07,0.374378,-1.35466,1.71009,0
2471970,-89.9958,90.0033,-14.9938,44.9918,5.00334,4.99393,-174.998,89.9284,89.964,14.9442,44.9424,4.95941,4.96244,4.94495,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,9.22874,-1.31009,3.07082,-6.69079,-0.726269,-1.86964,-0.681122,-11.6633,2.98278,-3.42263,-5.66823,-1.05797,-1.13683,0.0916926,0.122261,-0.621326,1.41273,1.88161,0.438142,-1.21056,0.0382733,-0.650276,1.41475,-1.93105,0.414552,-1.26294,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.0998468,-0.896192,0.749553,0.284876,-0.818522,0.743066,0,0,0,0,0,0,0,0,0,0,0,0,0.161325,-1.20377,1.30434,-92.1183,-650.939,1483.08,-62.8514,-684.908,1515.97,-107.976,-662.781,1425.99,226.754,-539.505,1476.27,225.243,-567.323,1502.89,241.447,-535.737,1423.66,-305.196,-415.425,726.545,-300.339,-366.962,768.415,-238.264,-379.225,780.586,-312.418,-434.966,754.057,144.324,-281.789,763.78,171.046,-224.307,763.328,213.904,-244.196,717.11,237.055,-255.052,743.001,-732.034,-832.966,1241.9,-746.288,-830.031,1281.7,-698.951,-832.442,1280.2,-695.7,752.593,1247.2,-698.085,750.666,1294.93,-735.867,751.079,1277.69,-718.942,-472.82,1296.33,-743.69,-471.39,1257.88,-700.222,-471.556,1254.03,0.374326,-1.3542,1.70997,0
2471971,-89.9957,90.0033,-14.9937,44.9917,5.00339,4.99382,-174.997,89.9283,89.9639,14.9441,44.9423,4.95941,4.96244,4.94495,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,9.69142,-1.43676,3.17372,-6.78387,-0.726264,-1.8797,-0.653339,-11.6598,2.94646,-3.45145,-5.71996,-1.01927,-1.12572,0.0904406,0.12468,-0.619933,1.41276,1.88047,0.440078,-1.21256,0.040854,-0.64909,1.41464,-1.93281,0.415897,-1.26191,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.0999643,-0.895876,0.74935,0.284816,-0.818733,0.742994,0,0,0,0,0,0,0,0,0,0,0,0,0.161442,-1.20396,1.30409,-89.4397,-649.92,1483.28,-60.0825,-683.775,1516.12,-105.419,-661.65,1426.25,229.431,-538.441,1476.21,227.931,-566.342,1502.8,244.062,-534.667,1423.55,-303.4,-413.657,727.219,-298.584,-365.186,769.134,-236.496,-377.444,781.26,-310.642,-433.178,754.768,146.2,-280.174,763.969,172.92,-222.738,763.553,215.703,-242.572,717.244,238.856,-253.465,743.123,-732.036,-833.129,1241.9,-746.304,-830.129,1281.71,-699.199,-832.532,1279.9,-695.675,752.457,1247.24,-698.101,750.532,1294.92,-735.888,750.948,1277.71,-719.062,-472.897,1296.49,-743.725,-471.516,1257.87,-700.193,-471.652,1254.03,0.374401,-1.35466,1.71008,0
2471972,-89.9956,90.0032,-14.9937,44.9916,5.00344,4.9936,-174.997,89.9285,89.9639,14.9441,44.9423,4.95947,4.96233,4.94495,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,9.92596,-1.4754,3.27954,-6.96906,-0.730615,-1.94257,-0.667204,-11.818,2.96403,-3.45585,-5.75226,-1.02235,-1.11828,0.107372,0.12701,-0.618708,1.41292,1.87758,0.44157,-1.21606,0.0432148,-0.647649,1.41482,-1.93386,0.419017,-1.26389,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.100072,-0.895543,0.749145,0.284791,-0.818913,0.742919,0,0,0,0,0,0,0,0,0,0,0,0,0.161572,-1.20415,1.30385,-86.8522,-648.777,1483.55,-57.5455,-682.759,1516.1,-102.869,-660.536,1426.48,232.12,-537.452,1476.1,230.634,-565.362,1502.69,246.597,-533.667,1423.41,-301.803,-411.756,727.968,-296.763,-363.39,769.925,-234.983,-375.591,781.948,-308.88,-431.375,755.49,147.97,-278.589,764.224,174.725,-221.104,763.826,217.442,-240.951,717.435,240.698,-251.629,743.235,-732.095,-833.204,1241.91,-746.301,-830.253,1281.7,-699.212,-832.676,1279.9,-695.678,752.383,1247.24,-698.13,750.426,1294.92,-735.882,750.833,1277.7,-718.981,-473.009,1296.35,-743.741,-471.642,1257.85,-700.192,-471.777,1253.99,0.374214,-1.3544,1.71007,0
2471973,-89.9955,90.0033,-14.9935,44.9916,5.0035,4.9935,-174.997,89.9279,89.9646,14.944,44.9422,4.95947,4.96222,4.94495,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,10.0823,-1.2239,3.31766,-6.73832,-0.725837,-1.89849,-0.661478,-11.8831,2.99984,-3.53619,-5.80658,-1.02352,-1.15001,0.0832534,0.129516,-0.617635,1.41281,1.87703,0.443491,-1.21747,0.0457655,-0.646955,1.41498,-1.93452,0.419714,-1.2671,-0.710724,-0.039997,1.25785,0.0101216,0.999943,0.00349696,-0.10017,-0.895194,0.748937,0.284799,-0.819063,0.742841,0,0,0,0,0,0,0,0,0,0,0,0,0.161717,-1.20433,1.3036,-84.2509,-647.731,1483.81,-54.9462,-681.939,1516.35,-100.347,-659.393,1426.78,234.771,-536.543,1476.05,233.275,-564.459,1502.59,249.196,-532.67,1423.32,-300.113,-409.9,728.754,-294.959,-361.571,770.745,-232.972,-373.873,782.63,-307.207,-429.55,756.223,149.667,-276.908,764.546,176.502,-219.468,764.139,219.152,-239.281,717.667,242.424,-249.677,743.615,-732.128,-833.261,1241.92,-746.323,-830.333,1281.69,-699.237,-832.752,1279.91,-695.695,752.298,1247.27,-698.127,750.381,1294.94,-736.381,750.96,1277.78,-719.014,-473.084,1296.31,-743.746,-471.626,1257.72,-700.2,-471.847,1253.98,0.374191,-1.3544,1.71006,0
2471974,-89.9955,90.0033,-14.9935,44.9916,5.0035,4.99344,-174.997,89.9275,89.9654,14.9438,44.942,4.95947,4.96211,4.94495,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,9.98548,-0.94692,3.28604,-6.7172,-0.720462,-1.8522,-0.66245,-11.9899,2.94625,-3.59699,-5.87425,-1.0383,-1.1675,0.0910188,0.13183,-0.616085,1.41301,1.87589,0.447602,-1.21786,0.0481737,-0.645307,1.41496,-1.9364,0.422593,-1.26504,-0.710725,-0.0399994,1.25785,0.0101118,0.999943,0.00349991,-0.100257,-0.894829,0.748728,0.284842,-0.819182,0.742758,0,0,0,0,0,0,0,0,0,0,0,0,0.161874,-1.2045,1.30335,-81.6533,-646.65,1484.09,-52.2844,-680.665,1516.42,-97.8464,-658.229,1427.1,237.348,-535.53,1476.11,235.94,-563.535,1502.48,251.729,-531.682,1423.24,-298.371,-408.08,729.577,-293.681,-359.586,771.504,-231.235,-372.093,783.351,-305.555,-427.728,757.025,151.354,-275.183,764.912,178.222,-217.729,764.551,220.77,-237.536,717.968,244.076,-248.291,743.67,-732.137,-833.245,1241.89,-746.342,-830.362,1281.7,-699.259,-832.767,1279.89,-695.672,752.285,1247.26,-698.107,750.342,1294.94,-736.369,750.917,1277.78,-719.029,-473.116,1296.31,-743.733,-471.747,1257.8,-700.23,-471.854,1253.97,0.374432,-1.35443,1.71001,0
