frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,dq_cur_left_0,dq_cur_left_1,dq_cur_left_2,dq_cur_left_3,dq_cur_left_4,dq_cur_left_5,dq_cur_left_6,dq_cur_right_0,dq_cur_right_1,dq_cur_right_2,dq_cur_right_3,dq_cur_right_4,dq_cur_right_5,dq_cur_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,left_fplate_x,left_fplate_y,left_fplate_z,right_fplate_x,right_fplate_y,right_fplate_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx,sub_action_idx
3041668,-90.0012,89.9993,-14.9978,44.9961,4.9983,4.99715,-175.001,89.9728,89.9652,14.9658,45.0381,5.05397,5.07241,5.02582,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.000303839,-0.000303839,0,-0.00030338,0,0,0.000606301,0.000607678,0.00030338,0,0.00045507,0,0,0,-4.95397,-1.06995,-1.57403,-6.01075,-0.228952,-2.4195,0.124495,4.62232,3.97945,0.514569,-5.48743,-1.09416,-1.31889,-0.668796,0.0234604,-0.221618,1.36638,1.79697,-0.111007,-1.62591,-0.0623971,-0.214527,1.37505,-1.96467,-0.161635,-1.67494,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,2.56394,4.51085,-84.7694,4.5062,6.94439,51.4423,-177.579,-130.744,1414.1,-160.479,-149.064,1463.66,-201.772,-164.436,1370.09,156.081,-162.972,1389.33,147.168,-170.248,1426.63,165.709,-192.276,1344.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.413,-787.355,1254.72,-703.606,-786.658,1260,-724.329,-789.073,1295.98,-683.664,794.202,1269.85,-717.775,795.412,1247.87,-725.595,796.709,1294.14,-701.58,-429.466,1284.36,-749.002,-426.166,1278.76,-726.685,-425.916,1242.33,0.366675,-1.32963,1.70689,0,0
3041669,-90.0012,89.9993,-14.9977,44.996,4.9983,4.99715,-175.001,89.9735,89.9654,14.9659,45.0375,5.05397,5.0723,5.02582,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.000303839,-0.000303609,0.000607678,-0.00121353,0,0,0,0.00760172,0.00273045,0.000757877,-0.00500582,0,-0.00106103,0,-4.89299,-1.10344,-1.56717,-6.02538,-0.263437,-2.42125,0.130728,4.5979,4.02378,0.549793,-5.42893,-1.11023,-1.32826,-0.679405,0.0234604,-0.221618,1.36638,1.79697,-0.111007,-1.62591,-0.0623971,-0.214527,1.37505,-1.96467,-0.161635,-1.67494,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,1.95086,6.03275,-85.3693,2.8548,6.3029,51.614,-177.489,-130.712,1414.1,-160.314,-148.897,1463.74,-201.709,-164.398,1370.08,156.153,-162.971,1389.3,147.243,-170.27,1426.62,165.769,-192.315,1344.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.424,-787.355,1254.72,-703.615,-786.63,1260,-724.324,-789.078,1295.97,-683.674,794.196,1269.85,-717.76,795.396,1247.85,-725.599,796.719,1294.14,-701.575,-429.49,1284.37,-749.01,-426.157,1278.76,-726.707,-425.95,1242.3,0.366613,-1.32982,1.70687,0,0
3041670,-90.0012,89.9993,-14.9977,44.996,4.9983,4.99715,-175.001,89.9735,89.9654,14.9659,45.0375,5.05397,5.0723,5.02582,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.000303839,-0.000303609,0.000607678,-0.00121353,0,0,0,0.00760172,0.00273045,0.000757877,-0.00500582,0,-0.00106103,0,-4.89299,-1.10344,-1.56717,-6.02538,-0.263437,-2.42125,0.130728,4.5979,4.02378,0.549793,-5.42893,-1.11023,-1.32826,-0.679405,0.0234604,-0.221618,1.36638,1.79697,-0.111007,-1.62591,-0.0623971,-0.214527,1.37505,-1.96467,-0.161635,-1.67494,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,1.95086,6.03275,-85.3693,2.8548,6.3029,51.614,-177.426,-130.687,1414.11,-160.261,-148.849,1463.72,-201.651,-164.376,1370.07,156.217,-162.993,1389.3,147.298,-170.274,1426.61,165.838,-192.304,1344.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.415,-787.359,1254.73,-703.605,-786.647,1260,-724.32,-789.109,1295.97,-683.655,794.187,1269.87,-717.773,795.397,1247.87,-725.6,796.697,1294.14,-701.579,-429.483,1284.35,-749.01,-426.17,1278.77,-726.666,-425.995,1242.27,0.366613,-1.32982,1.70687,0,0
3041671,-90.0012,89.9993,-14.9976,44.9958,4.9983,4.99709,-175.001,89.9739,89.9656,14.9659,45.0374,5.05397,5.07219,5.02571,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,-0.000303836,0.0018244,-0.00318549,0,-0.000606301,0,0.00950259,0.00394398,0.00106183,-0.00651774,0,-0.00212045,-0.00106103,-4.90881,-1.07847,-1.55959,-6.01772,-0.218986,-2.41436,0.134041,4.62167,4.03753,0.530612,-5.43008,-1.11797,-1.33835,-0.685611,0.0234604,-0.221618,1.36638,1.79697,-0.111007,-1.62591,-0.0623971,-0.214527,1.37505,-1.96467,-0.161635,-1.67494,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,2.26691,5.57308,-85.7964,4.51231,5.10183,52.2001,-177.364,-130.654,1414.11,-160.198,-148.836,1463.71,-201.561,-164.354,1370.07,156.294,-163.008,1389.29,147.389,-170.28,1426.6,165.899,-192.339,1344.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.412,-787.357,1254.73,-703.594,-786.673,1260,-724.316,-789.115,1295.97,-683.659,794.196,1269.85,-717.786,795.395,1247.85,-725.594,796.702,1294.16,-701.573,-429.502,1284.34,-749.008,-426.18,1278.76,-726.707,-425.983,1242.27,0.36669,-1.32964,1.7069,0,0
3041672,-90.0012,89.9993,-14.9976,44.9957,4.9983,4.99704,-175.001,89.9738,89.9656,14.9659,45.0374,5.05392,5.07219,5.02571,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.00243071,-0.00439901,0,-0.00106103,0,-0.00581332,0.00394394,0.00106184,-0.00653254,-0.000607678,-0.00212208,-0.00106183,-4.87048,-1.08544,-1.56117,-5.9898,-0.2181,-2.39468,0.128404,4.57424,4.0841,0.520833,-5.41168,-1.1131,-1.32296,-0.664175,0.023486,-0.221745,1.36634,1.79742,-0.111632,-1.62648,-0.0623714,-0.214604,1.37497,-1.96418,-0.162238,-1.67554,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,2.26227,4.99586,-83.2933,4.34004,6.76498,49.9461,-177.267,-130.642,1414.12,-160.145,-148.811,1463.7,-201.496,-164.331,1370.08,156.385,-163.018,1389.27,147.475,-170.299,1426.58,165.994,-192.341,1344.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.402,-787.368,1254.71,-703.594,-786.659,1259.98,-724.315,-789.094,1295.96,-683.648,794.185,1269.88,-717.764,795.383,1247.86,-725.602,796.673,1294.16,-701.574,-429.49,1284.35,-748.998,-426.177,1278.76,-726.718,-425.958,1242.29,0.366691,-1.32963,1.70689,0,0
3041673,-90.0012,89.9993,-14.9976,44.9956,4.9983,4.99704,-175.001,89.9739,89.9656,14.9659,45.0374,5.05392,5.07208,5.02566,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.00242701,-0.00501334,0,-0.00106024,0,0,0.0047095,0.00106183,-0.00683638,-0.000607218,-0.00318308,-0.00166859,-4.88503,-1.14402,-1.57457,-6.0468,-0.232417,-2.43558,0.119462,4.60102,4.06718,0.524612,-5.4484,-1.10858,-1.34253,-0.683904,0.023486,-0.221745,1.36634,1.79742,-0.111632,-1.62648,-0.0623714,-0.214604,1.37497,-1.96418,-0.162238,-1.67554,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,2.25802,5.77862,-83.5633,5.09722,5.24301,50.6919,-177.205,-130.631,1414.12,-160.034,-148.789,1463.72,-201.408,-164.306,1370.09,156.462,-163.03,1389.26,147.561,-170.298,1426.58,166.057,-192.351,1344.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.415,-787.378,1254.71,-703.593,-786.664,1260,-724.333,-789.1,1295.97,-683.661,794.177,1269.85,-717.767,795.389,1247.85,-725.583,796.653,1294.17,-701.566,-429.499,1284.35,-749.003,-426.182,1278.77,-726.725,-425.98,1242.28,0.366684,-1.32962,1.70689,0,0
3041674,-90.0012,89.9993,-14.9976,44.9956,4.9983,4.99693,-175.001,89.9739,89.9656,14.9659,45.0373,5.05392,5.07203,5.0256,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.00242704,-0.00576857,0,-0.00212526,0,0.00155925,0.00470955,0.00106183,-0.00683121,-0.000607678,-0.00378938,-0.00212366,-4.89538,-1.16595,-1.58444,-6.09725,-0.246457,-2.41804,0.12191,4.56578,4.0465,0.522863,-5.45071,-1.10101,-1.34919,-0.659027,0.023486,-0.221745,1.36634,1.79742,-0.111632,-1.62648,-0.0623714,-0.214604,1.37497,-1.96418,-0.162238,-1.67554,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,2.44068,5.73619,-85.6517,4.1932,5.68916,50.5547,-177.126,-130.628,1414.13,-159.984,-148.766,1463.72,-201.378,-164.261,1370.1,156.55,-163.038,1389.25,147.647,-170.31,1426.58,166.116,-192.349,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.402,-787.372,1254.72,-703.612,-786.672,1260,-724.318,-789.129,1295.97,-683.645,794.182,1269.87,-717.772,795.389,1247.85,-725.579,796.63,1294.18,-701.566,-429.492,1284.35,-748.994,-426.188,1278.75,-726.731,-425.986,1242.3,0.36662,-1.32981,1.70687,0,0
3041675,-90.0012,89.9993,-14.9976,44.9956,4.9983,4.99693,-175.001,89.9739,89.9656,14.9659,45.0373,5.05392,5.07203,5.0256,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.00242704,-0.00576857,0,-0.00212526,0,0.00155925,0.00470955,0.00106183,-0.00683121,-0.000607678,-0.00378938,-0.00212366,-4.89538,-1.16595,-1.58444,-6.09725,-0.246457,-2.41804,0.12191,4.56578,4.0465,0.522863,-5.45071,-1.10101,-1.34919,-0.659027,0.023486,-0.221745,1.36634,1.79742,-0.111632,-1.62648,-0.0623714,-0.214604,1.37497,-1.96418,-0.162238,-1.67554,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,2.44068,5.73619,-85.6517,4.1932,5.68916,50.5547,-177.02,-130.599,1414.14,-159.754,-148.619,1463.92,-201.3,-164.242,1370.12,156.643,-163.046,1389.23,147.726,-170.309,1426.56,166.222,-192.364,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.407,-787.388,1254.71,-703.794,-786.507,1259.98,-724.306,-789.119,1295.96,-683.647,794.185,1269.87,-717.755,795.375,1247.85,-725.588,796.636,1294.17,-701.587,-429.499,1284.34,-748.998,-426.191,1278.76,-726.709,-426.005,1242.28,0.36662,-1.32981,1.70687,0,0
3041676,-90.0012,89.9992,-14.9976,44.9955,4.9983,4.99687,-175.001,89.9739,89.9656,14.9659,45.0373,5.05386,5.07197,5.02555,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,-0.000303383,0.00242704,-0.0062287,0,-0.00273455,0,-0.00197841,0.0047095,0.00106184,-0.00714021,-0.00106344,-0.00439237,-0.00273042,-4.90851,-1.20577,-1.58911,-6.06018,-0.253954,-2.40797,0.116829,4.54558,4.01851,0.529926,-5.45115,-1.11064,-1.33211,-0.678139,0.023486,-0.221745,1.36634,1.79742,-0.111632,-1.62648,-0.0623714,-0.214604,1.37497,-1.96418,-0.162238,-1.67554,-0.710386,0.00381787,1.25773,0.0108003,0.999942,0.000260208,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,3.30403,4.71276,-82.3763,3.73015,5.81276,49.2214,-176.945,-130.593,1414.16,-159.693,-148.608,1463.92,-201.221,-164.229,1370.15,156.741,-163.049,1389.22,147.803,-170.304,1426.59,166.306,-192.366,1344.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.4,-787.385,1254.71,-703.618,-786.661,1260.01,-724.302,-789.113,1295.96,-683.659,794.178,1269.86,-717.757,795.372,1247.86,-725.59,796.624,1294.18,-701.564,-429.502,1284.34,-749.013,-426.188,1278.75,-726.72,-425.991,1242.3,0.366691,-1.32962,1.7069,0,0
3041677,-90.0012,89.9992,-14.9976,44.9954,4.9983,4.99666,-175.001,89.9739,89.9656,14.966,45.0372,5.05381,5.07181,5.02549,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.000303151,-0.000303383,0.00242704,-0.00728662,0,-0.00486142,0,0,0.00425374,0.00136521,-0.00835557,-0.00166861,-0.0059115,-0.00318552,-4.94781,-1.23232,-1.59392,-6.0787,-0.238374,-2.42337,0.117162,4.50992,3.96082,0.494622,-5.47511,-1.12141,-1.33194,-0.671601,0.0237684,-0.222005,1.36624,1.79814,-0.112997,-1.62719,-0.0620901,-0.214799,1.37481,-1.96339,-0.163566,-1.67629,-0.710386,0.00381992,1.25773,0.0108017,0.999942,0.000259122,6.2187e-310,-1.59106e+101,3.99601e-315,5.29124e-310,6.21876e-310,5.29124e-310,0,0,0,0,0,0,0,0,0,0,0,0,6.2187e-310,5.29124e-310,5.29124e-310,2.838,6.12511,-81.0196,3.57966,5.53609,50.4028,-176.859,-130.598,1414.17,-159.563,-148.603,1463.96,-201.122,-164.237,1370.16,156.849,-163.058,1389.19,147.908,-170.294,1426.56,166.391,-192.373,1344.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750.405,-787.377,1254.7,-703.591,-786.67,1260.01,-724.318,-789.125,1295.97,-683.663,794.171,1269.85,-717.744,795.376,1247.86,-725.592,796.643,1294.18,-701.564,-429.504,1284.34,-749.006,-426.185,1278.76,-726.729,-425.955,1242.31,0.366618,-1.3298,1.70688,0,0
