frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
2902182,-89.9968,89.9996,-14.9977,44.9941,4.99878,4.99652,-175.001,90.0202,89.9812,15.0605,45.0302,5.14327,5.13457,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.33036,0.16119,1.56172,-6.80051,-0.376335,-2.63821,-0.116491,-5.92283,3.83006,-1.77856,-5.86035,-1.04575,-1.47804,-0.616139,0.0722319,-0.606633,1.45903,1.85491,0.166659,-1.76494,-0.0123977,-0.58385,1.4641,-1.9746,0.166066,-1.82374,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.139028,-1.13007,1.0225,-0.207738,-1.1148,1.54629,-0.161594,-1.16615,1.54734,-117.651,-502.338,1525.9,-106.774,-538.964,1567.15,-143.148,-517.755,1472.9,208.3,-576.344,1506.25,194.72,-591.708,1539.25,218.867,-594.533,1455.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.623,-884.459,1243.21,-861.584,-885.309,1270.46,-824.344,-882.39,1289.12,-857.01,700.542,1254.72,-810.004,698.679,1262.08,-831.676,698.745,1297.06,-847.101,-523.201,1244.08,-807.054,-526.098,1267.42,-848.099,-524.103,1288.5,-0.183363,-1.11371,1.55451,0.379111,-1.35607,1.71117,0
2902183,-89.9968,89.9996,-14.9977,44.9941,4.99878,4.99652,-175.001,90.0202,89.9812,15.0605,45.0302,5.14327,5.13457,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.33036,0.16119,1.56172,-6.80051,-0.376335,-2.63821,-0.116491,-5.92283,3.83006,-1.77856,-5.86035,-1.04575,-1.47804,-0.616139,0.0726199,-0.608715,1.45843,1.85922,0.167499,-1.75538,-0.0124835,-0.58441,1.46428,-1.974,0.166532,-1.82442,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.139507,-1.13004,1.02207,-0.207835,-1.1153,1.54626,-0.161586,-1.16664,1.54724,-117.708,-502.803,1526.04,-106.881,-539.388,1567.28,-143.191,-518.187,1473,208.309,-576.689,1506.33,194.719,-592.099,1539.35,219.311,-594.363,1455.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.66,-884.502,1243.2,-861.592,-885.335,1270.46,-824.341,-882.423,1289.11,-857.018,700.527,1254.74,-810.002,698.598,1262.08,-831.682,698.72,1297.05,-847.096,-523.213,1244.06,-807.065,-526.128,1267.38,-848.114,-524.11,1288.51,-0.18339,-1.114,1.55444,0.379089,-1.35608,1.71115,0
2902184,-89.9968,89.9996,-14.9977,44.9941,4.99878,4.99652,-175.001,90.0193,89.9819,15.0604,45.0287,5.14327,5.13457,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.26946,0.130404,1.54331,-6.79879,-0.368224,-2.6466,-0.101231,-5.88078,3.82574,-1.77251,-5.85393,-1.05198,-1.44383,-0.615235,0.0723994,-0.607917,1.4591,1.8557,0.167013,-1.761,-0.0124076,-0.584643,1.46443,-1.97388,0.167049,-1.82393,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.1399,-1.13004,1.02159,-0.207722,-1.11567,1.54615,-0.161544,-1.16701,1.54709,-117.722,-503.253,1526.18,-106.913,-539.962,1567.39,-143.164,-518.658,1473.19,208.324,-577.055,1506.45,194.772,-592.473,1539.45,219.009,-595.13,1455.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.589,-884.598,1243.24,-861.594,-885.358,1270.46,-824.339,-882.46,1289.1,-857.013,700.493,1254.73,-809.984,698.59,1262.04,-831.692,698.7,1297.06,-847.104,-523.255,1244.08,-807.059,-526.239,1267.43,-848.106,-524.153,1288.51,-0.183416,-1.1143,1.55438,0.379109,-1.35566,1.71129,0
2902185,-89.9967,89.9995,-14.9973,44.9934,4.99878,4.99636,-175.001,90.0193,89.9819,15.0604,45.0285,5.14327,5.13452,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.13021,0.153753,1.50999,-6.80537,-0.366801,-2.631,-0.113409,-5.92701,3.92625,-1.79101,-5.96171,-1.07127,-1.50536,-0.621441,0.072706,-0.609247,1.45849,1.85914,0.170384,-1.75554,-0.0124198,-0.585098,1.46443,-1.97455,0.168437,-1.82431,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.140232,-1.13005,1.02106,-0.207692,-1.11616,1.5461,-0.161517,-1.16726,1.5468,-117.688,-503.749,1526.33,-106.873,-540.406,1567.44,-143.149,-519.053,1473.32,208.362,-577.468,1506.53,194.792,-592.914,1539.41,219.367,-594.966,1455.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.625,-884.542,1243.19,-861.578,-885.37,1270.45,-824.331,-882.469,1289.11,-857.012,700.471,1254.74,-809.987,698.605,1262.08,-831.684,698.682,1297.07,-847.096,-523.258,1244.09,-806.946,-525.602,1267.33,-848.117,-524.141,1288.53,-0.183441,-1.11459,1.55431,0.379002,-1.35578,1.71127,0
2902186,-89.9967,89.9996,-14.9973,44.9934,4.99878,4.99625,-175.001,90.0193,89.9819,15.0603,45.0282,5.14327,5.13452,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.08877,0.209837,1.52517,-6.75323,-0.368519,-2.64211,-0.103812,-5.98874,3.91095,-1.84413,-5.8745,-1.05084,-1.47038,-0.602116,0.0726927,-0.610313,1.45878,1.85842,0.168003,-1.75351,-0.0124185,-0.585827,1.46464,-1.97444,0.166419,-1.82327,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.140517,-1.1301,1.02054,-0.207591,-1.1166,1.54599,-0.161505,-1.16785,1.54677,-117.674,-504.191,1526.47,-106.756,-540.881,1567.82,-143.114,-519.443,1473.49,208.384,-577.862,1506.64,194.873,-593.246,1539.63,219.402,-595.318,1456.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.619,-884.58,1243.19,-861.581,-885.375,1270.45,-824.327,-882.485,1289.09,-856.998,700.473,1254.72,-810.042,698.591,1262.09,-831.665,698.661,1297.06,-847.107,-523.248,1244.06,-806.977,-525.798,1267.36,-848.086,-524.188,1288.5,-0.183465,-1.11489,1.55424,0.379036,-1.35588,1.71126,0
2902187,-89.9967,89.9996,-14.9973,44.9934,4.99878,4.9962,-175.001,90.0192,89.982,15.0603,45.0282,5.14327,5.13452,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.069,0.221343,1.50903,-6.68156,-0.35076,-2.60298,-0.109404,-6.04798,4.00174,-1.88866,-5.84158,-1.07125,-1.48031,-0.622319,0.0727663,-0.610748,1.45884,1.85875,0.168981,-1.75271,-0.0124295,-0.58601,1.46462,-1.97565,0.168514,-1.82469,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.14072,-1.13021,1.02005,-0.207546,-1.11701,1.54593,-0.161411,-1.16824,1.54662,-117.604,-504.612,1526.66,-106.745,-541.37,1567.81,-143.093,-519.814,1473.71,208.413,-578.224,1506.8,194.908,-593.624,1539.75,219.471,-595.631,1456.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.625,-884.561,1243.19,-861.598,-885.384,1270.45,-824.324,-882.491,1289.11,-857.014,700.466,1254.74,-809.969,698.551,1262.08,-831.672,698.645,1297.07,-847.113,-523.255,1244.08,-807.047,-526.184,1267.46,-848.112,-524.168,1288.51,-0.183489,-1.11519,1.55417,0.379063,-1.35604,1.71117,0
2902188,-89.9967,89.9996,-14.9973,44.9933,4.99878,4.99609,-175.001,90.0191,89.9822,15.0602,45.0281,5.14332,5.13452,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.07598,0.230738,1.46551,-6.7427,-0.347879,-2.61656,-0.130777,-6.12738,4.01891,-1.91186,-5.86608,-1.07042,-1.47395,-0.626653,0.0728661,-0.611327,1.45886,1.85908,0.169219,-1.75123,-0.0122368,-0.586146,1.46476,-1.97583,0.168385,-1.82173,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.140811,-1.1303,1.01957,-0.207481,-1.11744,1.54587,-0.161284,-1.1686,1.54647,-117.631,-505.017,1526.83,-106.646,-541.882,1568.05,-143.082,-520.273,1473.88,208.454,-578.586,1506.89,194.956,-594.014,1539.84,219.56,-595.95,1456.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.621,-884.549,1243.21,-861.577,-885.371,1270.44,-824.329,-882.468,1289.12,-857.007,700.483,1254.74,-809.98,698.585,1262.06,-831.681,698.685,1297.07,-847.082,-523.249,1244.07,-807.009,-525.877,1267.38,-848.097,-524.147,1288.51,-0.183511,-1.11549,1.5541,0.379227,-1.35605,1.71107,0
2902189,-89.9967,89.9996,-14.9973,44.9933,4.99878,4.99609,-175.001,90.0191,89.9822,15.0602,45.0281,5.14332,5.13452,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.07598,0.230738,1.46551,-6.7427,-0.347879,-2.61656,-0.130777,-6.12738,4.01891,-1.91186,-5.86608,-1.07042,-1.47395,-0.626653,0.0728748,-0.611399,1.45892,1.85906,0.170733,-1.75326,-0.0121162,-0.586618,1.46497,-1.9759,0.16739,-1.81985,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.140886,-1.13038,1.0191,-0.207385,-1.11792,1.54577,-0.161175,-1.16903,1.54631,-117.604,-505.47,1527.03,-106.508,-542.24,1568.34,-143.024,-520.713,1474.1,208.52,-578.988,1507.03,194.978,-594.442,1539.96,219.605,-596.294,1456.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.63,-884.577,1243.18,-861.579,-885.366,1270.45,-824.341,-882.467,1289.11,-856.998,700.505,1254.72,-810.035,698.612,1262.04,-831.678,698.691,1297.07,-847.086,-523.24,1244.06,-807.032,-525.953,1267.38,-848.108,-524.135,1288.51,-0.183533,-1.1158,1.55403,0.379077,-1.35611,1.71115,0
2902190,-89.9967,89.9996,-14.9972,44.9933,4.99878,4.99592,-175.001,90.0192,89.9822,15.0602,45.0281,5.14332,5.13446,5.10492,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.12372,0.249389,1.47831,-6.71861,-0.355888,-2.61341,-0.093817,-6.21436,4.08024,-1.91868,-5.81506,-1.0668,-1.45238,-0.599937,0.0729539,-0.611897,1.45904,1.85902,0.171238,-1.75229,-0.0121572,-0.587087,1.46515,-1.97595,0.167788,-1.8214,-0.825874,-0.091437,1.27655,0.00165261,0.999996,0.00231217,0,0,0,-0.140918,-1.1304,1.01865,-0.207231,-1.11838,1.54573,-0.161054,-1.16942,1.54625,-117.548,-505.897,1527.22,-106.527,-542.626,1568.44,-142.995,-521.138,1474.29,208.569,-579.354,1507.17,195.041,-594.834,1540.1,219.678,-596.626,1456.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.66,-884.463,1243.18,-861.592,-885.331,1270.47,-824.339,-882.429,1289.13,-857.03,700.533,1254.73,-809.981,698.637,1262.07,-831.674,698.718,1297.06,-847.075,-523.234,1244.08,-806.994,-525.943,1267.38,-848.098,-524.126,1288.51,-0.183552,-1.1161,1.55396,0.379022,-1.3559,1.71128,0
2902191,-89.9967,89.9996,-14.9972,44.9933,4.99878,4.99587,-175.001,90.019,89.9823,15.0601,45.0281,5.14332,5.13446,5.10486,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,2.19798,0.271805,1.51407,-6.682,-0.365787,-2.59678,-0.112022,-6.35962,4.01525,-1.96129,-5.83917,-1.06514,-1.47371,-0.630223,0.0729541,-0.612349,1.45917,1.85853,0.171382,-1.75257,-0.0121885,-0.587479,1.46527,-1.9759,0.170488,-1.8239,-0.825874,-0.0914448,1.27655,0.00165456,0.999996,0.00231404,0,0,0,-0.140924,-1.13041,1.01819,-0.207114,-1.11882,1.5457,-0.160902,-1.16991,1.54619,-117.462,-506.349,1527.44,-106.594,-543.155,1568.48,-142.94,-521.526,1474.44,208.614,-579.755,1507.27,195.091,-595.238,1540.22,219.708,-596.989,1456.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-820.609,-884.491,1243.22,-861.584,-885.313,1270.46,-824.331,-882.394,1289.12,-857.006,700.541,1254.71,-809.999,698.664,1262.07,-831.66,698.747,1297.05,-847.053,-523.208,1244.06,-806.988,-525.882,1267.41,-848.102,-524.079,1288.51,-0.18357,-1.11641,1.55388,0.378981,-1.35592,1.71128,0
